,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
313,puerto narino,98,ES,1595285469,32,36.59,-6.23,303.15,7.2
314,digby,82,CA,1595285469,88,44.62,-65.77,294.82,6.26
315,unai,2,BR,1595285469,59,-16.36,-46.91,292.73,1.23
316,sabang,99,ID,1595285469,77,5.89,95.32,301.32,3.13
317,tefe,64,BR,1595285469,63,-3.35,-64.71,299.71,1.19
318,kemijarvi,83,FI,1595285470,90,66.71,27.43,288.68,1.19
319,new plymouth,75,LR,1595285376,94,6.65,-10.59,298.15,2.1
320,aloleng,31,PH,1595285470,79,16.13,119.78,300.48,3.46
321,rincon,40,US,1595285470,52,32.3,-81.24,306.15,7.2
322,portland,20,US,1595285307,29,45.52,-122.68,307.59,4.6
323,greystones,75,IE,1595285470,76,53.14,-6.06,286.15,1.5
324,fairbanks,75,US,1595285288,64,64.84,-147.72,294.82,4.1
325,hit,0,IQ,1595285470,12,33.64,42.83,306.7,4.69
326,segou,32,ML,1595285471,66,13.43,-6.22,300.83,2.8
327,tessalit,39,ML,1595285444,27,20.2,1.01,306.67,5.92
328,iranshahr,20,IR,1595285404,12,27.2,60.68,305.14,2.52
329,san policarpo,2,ML,1595285422,62,13.3,-4.9,301.83,4.1
330,maceio,20,BR,1595285471,88,-9.67,-35.74,295.15,2.1
331,launceston,90,AU,1595285471,93,-41.45,147.17,279.82,3.1
332,sisimiut,100,GL,1595285424,79,66.94,-53.67,282.99,0.82
333,vestmannaeyjar,0,IS,1595285467,74,63.44,-20.27,283.41,1.96
334,russell,1,US,1595285471,44,32.35,-85.2,309.15,1.5
335,houston,75,US,1595285282,74,29.76,-95.36,302.15,4.6
336,ilulissat,85,GL,1595285391,50,69.22,-51.1,285.15,1.0
337,coquimbo,13,CL,1595285389,76,-29.95,-71.34,287.15,3.6
338,sao gabriel da cachoeira,100,IN,1595285448,87,20.51,76.21,297.39,4.83
339,bensonville,75,LR,1595285472,94,6.45,-10.61,298.15,2.1
340,san juan,2,ML,1595285186,62,13.3,-4.9,301.83,4.1
341,evensk,0,RU,1595285426,46,61.95,159.23,291.81,6.11
342,muravlenko,37,RU,1595285386,74,63.79,74.52,285.29,4.11
343,poum,4,NC,1595285472,64,-20.23,164.02,294.53,4.6
344,cap malheureux,0,FR,1595285472,82,49.27,-1.21,289.26,2.1
345,bathsheba,20,BB,1595285352,69,13.22,-59.52,301.15,8.7
346,mobaye,0,CF,1595285473,94,4.32,21.18,293.02,0.79
347,simbahan,21,PH,1595285473,71,6.3,120.58,301.5,1.88
348,monchique,70,PT,1595285473,56,37.32,-8.56,301.48,2.32
349,sept-iles,75,CA,1595285377,44,50.2,-66.38,300.15,9.8
350,tazovskiy,93,RU,1595285473,83,67.47,78.7,282.06,5.23
351,kuusamo,47,FI,1595285473,82,65.97,29.18,292.15,2.6
352,taoudenni,7,ML,1595285446,23,22.68,-3.98,310.14,6.97
353,seoul,1,KR,1595284807,83,37.57,126.98,296.15,1.5
354,dwarka,76,IN,1595285474,80,22.24,68.97,301.95,8.63
355,bourail,61,NC,1595285474,56,-21.57,165.48,294.72,3.47
356,hatta,100,IN,1595285474,71,24.12,79.6,301.21,3.86
357,teo,75,ES,1595285474,82,42.75,-8.5,292.04,4.6
358,yzeure,11,FR,1595285474,60,46.56,3.35,294.82,1.49
359,zaragoza,0,ES,1595285474,54,41.66,-0.88,300.15,5.7
360,yagodnoye,25,RU,1595285442,48,62.55,149.67,294.46,1.47
361,hambantota,100,LK,1595285433,80,6.12,81.12,299.75,4.53
362,wanning,98,CN,1595285475,84,18.8,110.4,300.65,2.41
363,fujinomiya,100,JP,1595285475,93,35.22,138.62,299.82,0.7
364,marsh harbour,6,GB,1595285475,88,53.65,-1.81,284.26,0.89
365,birao,67,CF,1595285475,93,10.28,22.79,294.54,1.18
366,cockburn town,98,AU,1595285475,75,-32.08,141.0,280.15,4.1
367,evangelista,42,PH,1595285475,93,13.33,121.1,298.15,1.21
368,itoman,20,JP,1595285437,83,26.12,127.67,302.15,1.5
369,laguna,1,US,1595285387,39,38.42,-121.42,303.15,3.1
370,clyde river,20,US,1595285475,48,41.3,-82.98,302.15,4.6
371,banposh,99,IN,1595285476,83,22.25,84.8,299.65,1.57
372,lodja,0,CD,1595285476,46,-3.48,23.43,295.17,0.66
373,angoche,14,MZ,1595285476,83,-16.23,39.91,293.96,4.13
374,inverness,44,GB,1595285343,76,57.48,-4.22,285.15,3.1
375,dingle,61,PH,1595285476,85,11.0,122.67,299.63,1.8
376,juneau,90,US,1595285223,93,58.3,-134.42,288.15,4.1
377,imaichi,100,JP,1595285476,95,36.72,139.68,295.93,0.45
378,bandundu,0,CD,1595285476,34,-3.32,17.37,298.41,1.03
379,teya,100,RU,1595285476,91,60.38,92.63,284.98,2.62
380,kijang,75,KR,1595285398,88,35.24,129.21,298.15,2.1
381,shenjiamen,98,CN,1595285477,93,29.96,122.3,298.99,6.81
382,haines junction,90,US,1595285477,72,59.23,-135.44,292.15,7.2
383,belle fourche,1,US,1595285365,74,38.29,-91.72,300.93,4.1
384,makakilo city,20,US,1595285477,40,21.35,-158.09,305.15,4.1
385,baherden,0,TM,1595285477,13,38.44,57.43,305.82,3.44
